page_idx,section,subsection,machine,parameter,cc_msb,cc_lsb,nrpn_msb,nrpn_lsb,raw_line
78,C.1,TRIG PARAMETERS,,Note,3,,3.0,0.0,Note 3 3 0
78,C.1,TRIG PARAMETERS,,Velocity,4,,3.0,1.0,Velocity 4 3 1
78,C.1,TRIG PARAMETERS,,Length,5,,3.0,2.0,Length 5 3 2
78,C.1,TRIG PARAMETERS,,Synth Trig,11,,3.0,3.0,Synth Trig 11 3 3
78,C.1,TRIG PARAMETERS,,Sample Trig,12,,3.0,4.0,Sample Trig 12 3 4
78,C.1,TRIG PARAMETERS,,ENV Trig,13,,3.0,5.0,ENV Trig 13 3 5
78,C.1,TRIG PARAMETERS,,LFO TRIG,14,,3.0,6.0,LFO TRIG 14 3 6
78,C.2,EUCLIDEAN PARAMETERS,,Pulse Generator,1,86.0,3.0,8.0,Pulse Generator 1 86 3 8
78,C.2,EUCLIDEAN PARAMETERS,,Rotation Generator,1,89.0,3.0,11.0,Rotation Generator 1 89 3 11
78,C.2,EUCLIDEAN PARAMETERS,,Pulse Generator,2,87.0,3.0,9.0,Pulse Generator 2 87 3 9
78,C.2,EUCLIDEAN PARAMETERS,,Rotation Generator,2,90.0,3.0,12.0,Rotation Generator 2 90 3 12
78,C.2,EUCLIDEAN PARAMETERS,,Boolean Operator,88,,3.0,10.0,Boolean Operator 88 3 10
78,C.2,EUCLIDEAN PARAMETERS,,Track Rotation,91,,3.0,13.0,Track Rotation 91 3 13
78,C.2,EUCLIDEAN PARAMETERS,,Euclidean on/off,117,,3.0,14.0,Euclidean on/off 117 3 14
78,C.3,COMMON,,Track Machine Type,15,,1.0,103.0,Track Machine Type 15 1 103
78,C.3,COMMON,,Active Scene,92,,1.0,104.0,Active Scene 92 1 104
78,C.3,COMMON,,Track Solo (seq. mute),93,,1.0,102.0,Track Solo (seq. mute) 93 1 102
78,C.3,COMMON,,Track Mute (seq. mute),94,,1.0,101.0,Track Mute (seq. mute) 94 1 101
78,C.3,COMMON,,Track Level,95,,1.0,100.0,Track Level 95 1 100
78,C.4,PERFORMANCE,,Performance Parameter,1,35.0,0.0,0.0,Performance Parameter 1 35 0 0
78,C.4,PERFORMANCE,,Performance Parameter,2,36.0,0.0,1.0,Performance Parameter 2 36 0 1
78,C.4,PERFORMANCE,,Performance Parameter,3,37.0,0.0,2.0,Performance Parameter 3 37 0 2
78,C.4,PERFORMANCE,,Performance Parameter,4,39.0,0.0,3.0,Performance Parameter 4 39 0 3
78,C.4,PERFORMANCE,,Performance Parameter,5,40.0,0.0,4.0,Performance Parameter 5 40 0 4
78,C.4,PERFORMANCE,,Performance Parameter,6,41.0,0.0,5.0,Performance Parameter 6 41 0 5
78,C.4,PERFORMANCE,,Performance Parameter,7,42.0,0.0,6.0,Performance Parameter 7 42 0 6
78,C.4,PERFORMANCE,,Performance Parameter,8,43.0,0.0,7.0,Performance Parameter 8 43 0 7
78,C.4,PERFORMANCE,,Performance Parameter,9,44.0,0.0,8.0,Performance Parameter 9 44 0 8
78,C.4,PERFORMANCE,,Performance Parameter,10,45.0,0.0,9.0,Performance Parameter 10 45 0 9
79,C.4,PERFORMANCE,,Performance Parameter,11,46.0,0.0,10.0,Performance Parameter 11 46 0 10
79,C.4,PERFORMANCE,,Performance Parameter,12,47.0,0.0,11.0,Performance Parameter 12 47 0 11
80,C.5,AMP,,Amp Volume,7,,1.0,31.0,Amp Volume 7 1 31
80,C.5,AMP,,Amp Pan,10,,1.0,30.0,Amp Pan 10 1 30
79,C.5,AMP,,Amp Attack Time,78,,1.0,24.0,Amp Attack Time 78 1 24
79,C.5,AMP,,Amp Hold Time,79,,1.0,25.0,Amp Hold Time 79 1 25
80,C.5,AMP,,Amp Decay Time,80,,1.0,26.0,Amp Decay Time 80 1 26
80,C.5,AMP,,Amp Overdrive,81,,1.0,27.0,Amp Overdrive 81 1 27
80,C.5,AMP,,Amp Delay Send,82,,1.0,28.0,Amp Delay Send 82 1 28
80,C.5,AMP,,Amp Reverb Send,83,,1.0,29.0,Amp Reverb Send 83 1 29
79,C.5,FILTER,,Filter Attack Time,70,,1.0,16.0,Filter Attack Time 70 1 16
79,C.5,FILTER,,Filter Decay Time,71,,1.0,17.0,Filter Decay Time 71 1 17
79,C.5,FILTER,,Filter Sustain Level,72,,1.0,18.0,Filter Sustain Level 72 1 18
79,C.5,FILTER,,Filter Release Time,73,,1.0,19.0,Filter Release Time 73 1 19
79,C.5,FILTER,,Filter Frequency,74,,1.0,20.0,Filter Frequency 74 1 20
79,C.5,FILTER,,Filter Resonance,75,,1.0,21.0,Filter Resonance 75 1 21
79,C.5,FILTER,,Filter Mode,76,,1.0,22.0,Filter Mode 76 1 22
79,C.5,FILTER,,Filter Env Depth,77,,1.0,23.0,Filter Env Depth 77 1 23
79,C.5,SAMPLE,,Sample Tune,24,,1.0,8.0,Sample Tune 24 1 8
79,C.5,SAMPLE,,Sample Fine tune,25,,1.0,9.0,Sample Fine tune 25 1 9
79,C.5,SAMPLE,,Sample Bit Reduction,26,,1.0,10.0,Sample Bit Reduction 26 1 10
79,C.5,SAMPLE,,Sample Slot,27,,1.0,11.0,Sample Slot 27 1 11
79,C.5,SAMPLE,,Sample Start,28,,1.0,12.0,Sample Start 28 1 12
79,C.5,SAMPLE,,Sample End,29,,1.0,13.0,Sample End 29 1 13
79,C.5,SAMPLE,,Sample Loop,30,,1.0,14.0,Sample Loop 30 1 14
79,C.5,SAMPLE,,Sample Level,31,,1.0,15.0,Sample Level 31 1 15
79,C.5,SYNTH,,Synth Parameter,1,16.0,1.0,0.0,Synth Parameter 1 16 1 0
79,C.5,SYNTH,,Synth Parameter,2,17.0,1.0,1.0,Synth Parameter 2 17 1 1
79,C.5,SYNTH,,Synth Parameter,3,18.0,1.0,2.0,Synth Parameter 3 18 1 2
79,C.5,SYNTH,,Synth Parameter,4,19.0,1.0,3.0,Synth Parameter 4 19 1 3
79,C.5,SYNTH,,Synth Parameter,5,20.0,1.0,4.0,Synth Parameter 5 20 1 4
79,C.5,SYNTH,,Synth Parameter,6,21.0,1.0,5.0,Synth Parameter 6 21 1 5
79,C.5,SYNTH,,Synth Parameter,7,22.0,1.0,6.0,Synth Parameter 7 22 1 6
79,C.5,SYNTH,,Synth Parameter,8,23.0,1.0,7.0,Synth Parameter 8 23 1 7
80,C.6,LFO,,LFO Speed,102,,1.0,32.0,LFO Speed 102 1 32
80,C.6,LFO,,LFO Multiplier,103,,1.0,33.0,LFO Multiplier 103 1 33
80,C.6,LFO,,LFO Fade In/Out,104,,1.0,34.0,LFO Fade In/Out 104 1 34
80,C.6,LFO,,LFO Destination,105,,1.0,35.0,LFO Destination 105 1 35
80,C.6,LFO,,LFO Waveform,106,,1.0,36.0,LFO Waveform 106 1 36
80,C.6,LFO,,LFO Start Phase,107,,1.0,37.0,LFO Start Phase 107 1 37
80,C.6,LFO,,LFO Trig Mode,108,,1.0,38.0,LFO Trig Mode 108 1 38
80,C.6,LFO,,LFO Depth,109,118.0,1.0,39.0,LFO Depth 109 118 1 39
81,C.7,COMPRESSOR,,Compressor Threshold,78,,2.0,24.0,Compressor Threshold 78 2 24
81,C.7,COMPRESSOR,,Compressor Attack Time,79,,2.0,25.0,Compressor Attack Time 79 2 25
81,C.7,COMPRESSOR,,Compressor Release Time,80,,2.0,26.0,Compressor Release Time 80 2 26
81,C.7,COMPRESSOR,,Compressor Makeup Gain,81,,2.0,27.0,Compressor Makeup Gain 81 2 27
81,C.7,COMPRESSOR,,Compressor Ratio,82,,2.0,28.0,Compressor Ratio 82 2 28
81,C.7,COMPRESSOR,,Compressor Sidechain EQ,83,,2.0,29.0,Compressor Sidechain EQ 83 2 29
81,C.7,COMPRESSOR,,Compressor Dry/Wet Mix,84,,2.0,30.0,Compressor Dry/Wet Mix 84 2 30
81,C.7,COMPRESSOR,,Compressor Output Volume,85,,2.0,31.0,Compressor Output Volume 85 2 31
80,C.7,DELAY,,Delay Time,16,,2.0,0.0,Delay Time 16 2 0
80,C.7,DELAY,,Delay Pingpong,17,,2.0,1.0,Delay Pingpong 17 2 1
80,C.7,DELAY,,Delay Stereo Width,18,,2.0,2.0,Delay Stereo Width 18 2 2
80,C.7,DELAY,,Delay Feedback,19,,2.0,3.0,Delay Feedback 19 2 3
80,C.7,DELAY,,Delay Highpass Filter,20,,2.0,4.0,Delay Highpass Filter 20 2 4
80,C.7,DELAY,,Delay Lowpass Filter,21,,2.0,5.0,Delay Lowpass Filter 21 2 5
80,C.7,DELAY,,Delay Reverb Send,22,,2.0,6.0,Delay Reverb Send 22 2 6
80,C.7,DELAY,,Delay Mix Volume,23,,2.0,7.0,Delay Mix Volume 23 2 7
81,C.7,DISTORTION,,Dist Amount,70,,2.0,16.0,Dist Amount 70 2 16
81,C.7,DISTORTION,,Dist Symmetry,71,,2.0,17.0,Dist Symmetry 71 2 17
81,C.7,DISTORTION,,Delay Overdrive,72,,2.0,18.0,Delay Overdrive 72 2 18
81,C.7,DISTORTION,,Delay Dist/Comp Routing (pre/post),76,,2.0,22.0,Delay Dist/Comp Routing (pre/post) 76 2 22
81,C.7,DISTORTION,,Reverb Dist/Comp Routing (pre/post),77,,2.0,23.0,Reverb Dist/Comp Routing (pre/post) 77 2 23
80,C.7,REVERB,,Reverb Predelay,24,,2.0,8.0,Reverb Predelay 24 2 8
80,C.7,REVERB,,Reverb Decay Time,25,,2.0,9.0,Reverb Decay Time 25 2 9
80,C.7,REVERB,,Reverb Shelving Freq,26,,2.0,10.0,Reverb Shelving Freq 26 2 10
80,C.7,REVERB,,Reverb Shelving Gain,27,,2.0,11.0,Reverb Shelving Gain 27 2 11
80,C.7,REVERB,,Reverb Highpass Filter,28,,2.0,12.0,Reverb Highpass Filter 28 2 12
80,C.7,REVERB,,Reverb Lowpass Filter,29,,2.0,13.0,Reverb Lowpass Filter 29 2 13
80,C.7,REVERB,,Reverb Mix Volume,31,,2.0,15.0,Reverb Mix Volume 31 2 15
83,C.8,MACHINE PARAMETERS,BD ACOUSTIC,Level,16,,1.0,0.0,Level 16 1 0
83,C.8,MACHINE PARAMETERS,BD ACOUSTIC,Tune,17,,1.0,1.0,Tune 17 1 1
83,C.8,MACHINE PARAMETERS,BD ACOUSTIC,Decay,18,,1.0,2.0,Decay 18 1 2
83,C.8,MACHINE PARAMETERS,BD ACOUSTIC,Sweep Depth,19,,1.0,3.0,Sweep Depth 19 1 3
83,C.8,MACHINE PARAMETERS,BD ACOUSTIC,Sweep Time,20,,1.0,4.0,Sweep Time 20 1 4
83,C.8,MACHINE PARAMETERS,BD ACOUSTIC,Hold Time,21,,1.0,5.0,Hold Time 21 1 5
83,C.8,MACHINE PARAMETERS,BD ACOUSTIC,Impact,22,,1.0,6.0,Impact 22 1 6
83,C.8,MACHINE PARAMETERS,BD ACOUSTIC,Waveform,23,,1.0,7.0,Waveform 23 1 7
82,C.8,MACHINE PARAMETERS,BD CLASSIC,Level,16,,1.0,0.0,Level 16 1 0
82,C.8,MACHINE PARAMETERS,BD CLASSIC,Tune,17,,1.0,1.0,Tune 17 1 1
82,C.8,MACHINE PARAMETERS,BD CLASSIC,Decay,18,,1.0,2.0,Decay 18 1 2
82,C.8,MACHINE PARAMETERS,BD CLASSIC,Hold,19,,1.0,3.0,Hold 19 1 3
82,C.8,MACHINE PARAMETERS,BD CLASSIC,Sweep Time,20,,1.0,4.0,Sweep Time 20 1 4
82,C.8,MACHINE PARAMETERS,BD CLASSIC,Sweep Depth,21,,1.0,5.0,Sweep Depth 21 1 5
82,C.8,MACHINE PARAMETERS,BD CLASSIC,Waveform,22,,1.0,6.0,Waveform 22 1 6
82,C.8,MACHINE PARAMETERS,BD CLASSIC,Transient Tick,23,,1.0,7.0,Transient Tick 23 1 7
82,C.8,MACHINE PARAMETERS,BD FM,Level,16,,1.0,0.0,Level 16 1 0
82,C.8,MACHINE PARAMETERS,BD FM,Tune,17,,1.0,1.0,Tune 17 1 1
82,C.8,MACHINE PARAMETERS,BD FM,Decay,18,,1.0,2.0,Decay 18 1 2
82,C.8,MACHINE PARAMETERS,BD FM,FM Amount,19,,1.0,3.0,FM Amount 19 1 3
82,C.8,MACHINE PARAMETERS,BD FM,Sweep Time,20,,1.0,4.0,Sweep Time 20 1 4
82,C.8,MACHINE PARAMETERS,BD FM,FM Sweep Time,21,,1.0,5.0,FM Sweep Time 21 1 5
82,C.8,MACHINE PARAMETERS,BD FM,FM Decay Time,22,,1.0,6.0,FM Decay Time 22 1 6
82,C.8,MACHINE PARAMETERS,BD FM,FM Tune,23,,1.0,7.0,FM Tune 23 1 7
82,C.8,MACHINE PARAMETERS,BD HARD,Level,16,,1.0,0.0,Level 16 1 0
82,C.8,MACHINE PARAMETERS,BD HARD,Tune,17,,1.0,1.0,Tune 17 1 1
82,C.8,MACHINE PARAMETERS,BD HARD,Decay,18,,1.0,2.0,Decay 18 1 2
82,C.8,MACHINE PARAMETERS,BD HARD,Hold,19,,1.0,3.0,Hold 19 1 3
82,C.8,MACHINE PARAMETERS,BD HARD,Sweep Time,20,,1.0,4.0,Sweep Time 20 1 4
82,C.8,MACHINE PARAMETERS,BD HARD,Sweep Depth,21,,1.0,5.0,Sweep Depth 21 1 5
82,C.8,MACHINE PARAMETERS,BD HARD,Waveform,22,,1.0,6.0,Waveform 22 1 6
82,C.8,MACHINE PARAMETERS,BD HARD,Transient Tick,23,,1.0,7.0,Transient Tick 23 1 7
81,C.8,MACHINE PARAMETERS,BD PLASTIC,Level,16,,1.0,0.0,Level 16 1 0
81,C.8,MACHINE PARAMETERS,BD PLASTIC,Tune,17,,1.0,1.0,Tune 17 1 1
81,C.8,MACHINE PARAMETERS,BD PLASTIC,Decay Time,18,,1.0,2.0,Decay Time 18 1 2
81,C.8,MACHINE PARAMETERS,BD PLASTIC,Sweep Depth,19,,1.0,3.0,Sweep Depth 19 1 3
81,C.8,MACHINE PARAMETERS,BD PLASTIC,Sweep Time,20,,1.0,4.0,Sweep Time 20 1 4
81,C.8,MACHINE PARAMETERS,BD PLASTIC,Hold Time,21,,1.0,5.0,Hold Time 21 1 5
81,C.8,MACHINE PARAMETERS,BD PLASTIC,VCO Click,22,,1.0,6.0,VCO Click 22 1 6
81,C.8,MACHINE PARAMETERS,BD PLASTIC,Dust Level,23,,1.0,7.0,Dust Level 23 1 7
81,C.8,MACHINE PARAMETERS,BD SHARP,Level,16,,1.0,0.0,Level 16 1 0
81,C.8,MACHINE PARAMETERS,BD SHARP,Tune,17,,1.0,1.0,Tune 17 1 1
81,C.8,MACHINE PARAMETERS,BD SHARP,Decay,18,,1.0,2.0,Decay 18 1 2
81,C.8,MACHINE PARAMETERS,BD SHARP,Sweep Depth,19,,1.0,3.0,Sweep Depth 19 1 3
81,C.8,MACHINE PARAMETERS,BD SHARP,Sweep Time,20,,1.0,4.0,Sweep Time 20 1 4
81,C.8,MACHINE PARAMETERS,BD SHARP,Hold Time,21,,1.0,5.0,Hold Time 21 1 5
81,C.8,MACHINE PARAMETERS,BD SHARP,Tick Level,22,,1.0,6.0,Tick Level 22 1 6
81,C.8,MACHINE PARAMETERS,BD SHARP,Waveform,23,,1.0,7.0,Waveform 23 1 7
82,C.8,MACHINE PARAMETERS,BD SILKY,Level,16,,1.0,0.0,Level 16 1 0
82,C.8,MACHINE PARAMETERS,BD SILKY,Tune,17,,1.0,1.0,Tune 17 1 1
82,C.8,MACHINE PARAMETERS,BD SILKY,Decay,18,,1.0,2.0,Decay 18 1 2
82,C.8,MACHINE PARAMETERS,BD SILKY,Sweep Depth,19,,1.0,3.0,Sweep Depth 19 1 3
82,C.8,MACHINE PARAMETERS,BD SILKY,Sweep Time,20,,1.0,4.0,Sweep Time 20 1 4
82,C.8,MACHINE PARAMETERS,BD SILKY,Hold,21,,1.0,5.0,Hold 21 1 5
82,C.8,MACHINE PARAMETERS,BD SILKY,VCO Click,22,,1.0,6.0,VCO Click 22 1 6
82,C.8,MACHINE PARAMETERS,BD SILKY,Dust Level,23,,1.0,7.0,Dust Level 23 1 7
86,C.8,MACHINE PARAMETERS,BT CLASSIC,Level,16,,1.0,0.0,Level 16 1 0
86,C.8,MACHINE PARAMETERS,BT CLASSIC,Tune,17,,1.0,1.0,Tune 17 1 1
86,C.8,MACHINE PARAMETERS,BT CLASSIC,Decay,18,,1.0,2.0,Decay 18 1 2
86,C.8,MACHINE PARAMETERS,BT CLASSIC,Sweep Depth,19,,1.0,3.0,Sweep Depth 19 1 3
86,C.8,MACHINE PARAMETERS,BT CLASSIC,Noise Level,20,,1.0,4.0,Noise Level 20 1 4
86,C.8,MACHINE PARAMETERS,BT CLASSIC,Sweep Time,20,,1.0,4.0,Sweep Time 20 1 4
86,C.8,MACHINE PARAMETERS,BT CLASSIC,Noise Decay,21,,1.0,5.0,Noise Decay 21 1 5
86,C.8,MACHINE PARAMETERS,BT CLASSIC,Snap Type,21,,1.0,5.0,Snap Type 21 1 5
86,C.8,MACHINE PARAMETERS,BT CLASSIC,Noise Level,22,,1.0,6.0,Noise Level 22 1 6
86,C.8,MACHINE PARAMETERS,BT CLASSIC,Noise Tone,23,,1.0,7.0,Noise Tone 23 1 7
88,C.8,MACHINE PARAMETERS,CB CLASSIC & METALLIC,Level,16,,1.0,0.0,Level 16 1 0
88,C.8,MACHINE PARAMETERS,CB CLASSIC & METALLIC,Tune,17,,1.0,1.0,Tune 17 1 1
88,C.8,MACHINE PARAMETERS,CB CLASSIC & METALLIC,Decay Time,18,,1.0,2.0,Decay Time 18 1 2
88,C.8,MACHINE PARAMETERS,CB CLASSIC & METALLIC,Detune,19,,1.0,3.0,Detune 19 1 3
86,C.8,MACHINE PARAMETERS,CH CLASSIC,Level,16,,1.0,0.0,Level 16 1 0
86,C.8,MACHINE PARAMETERS,CH CLASSIC,Tune,17,,1.0,1.0,Tune 17 1 1
86,C.8,MACHINE PARAMETERS,CH CLASSIC,Decay,18,,1.0,2.0,Decay 18 1 2
86,C.8,MACHINE PARAMETERS,CH CLASSIC,Color,19,,1.0,3.0,Color 19 1 3
86,C.8,MACHINE PARAMETERS,CH METALLIC,Level,16,,1.0,0.0,Level 16 1 0
86,C.8,MACHINE PARAMETERS,CH METALLIC,Tune,17,,1.0,1.0,Tune 17 1 1
86,C.8,MACHINE PARAMETERS,CH METALLIC,Decay Time,18,,1.0,2.0,Decay Time 18 1 2
85,C.8,MACHINE PARAMETERS,CP CLASSIC,Level,16,,1.0,0.0,Level 16 1 0
85,C.8,MACHINE PARAMETERS,CP CLASSIC,Noise Tone,17,,1.0,1.0,Noise Tone 17 1 1
85,C.8,MACHINE PARAMETERS,CP CLASSIC,Noise Decay,18,,1.0,2.0,Noise Decay 18 1 2
85,C.8,MACHINE PARAMETERS,CP CLASSIC,Clap Number,19,,1.0,3.0,Clap Number 19 1 3
85,C.8,MACHINE PARAMETERS,CP CLASSIC,Clap Rate,20,,1.0,4.0,Clap Rate 20 1 4
85,C.8,MACHINE PARAMETERS,CP CLASSIC,Noise Level,21,,1.0,5.0,Noise Level 21 1 5
85,C.8,MACHINE PARAMETERS,CP CLASSIC,Random Claps,22,,1.0,6.0,Random Claps 22 1 6
85,C.8,MACHINE PARAMETERS,CP CLASSIC,Clap Decay,23,,1.0,7.0,Clap Decay 23 1 7
87,C.8,MACHINE PARAMETERS,CY CLASSIC,Level,16,,1.0,0.0,Level 16 1 0
87,C.8,MACHINE PARAMETERS,CY CLASSIC,Tune,17,,1.0,1.0,Tune 17 1 1
87,C.8,MACHINE PARAMETERS,CY CLASSIC,Decay,18,,1.0,2.0,Decay 18 1 2
87,C.8,MACHINE PARAMETERS,CY CLASSIC,Color,19,,1.0,3.0,Color 19 1 3
87,C.8,MACHINE PARAMETERS,CY CLASSIC,Tone,20,,1.0,4.0,Tone 20 1 4
87,C.8,MACHINE PARAMETERS,CY METALLIC,Level,16,,1.0,0.0,Level 16 1 0
87,C.8,MACHINE PARAMETERS,CY METALLIC,Tune,17,,1.0,1.0,Tune 17 1 1
87,C.8,MACHINE PARAMETERS,CY METALLIC,Decay Time,18,,1.0,2.0,Decay Time 18 1 2
87,C.8,MACHINE PARAMETERS,CY METALLIC,Tone,19,,1.0,3.0,Tone 19 1 3
87,C.8,MACHINE PARAMETERS,CY METALLIC,Transient Decay,20,,1.0,4.0,Transient Decay 20 1 4
87,C.8,MACHINE PARAMETERS,CY RIDE,Component,1,21.0,1.0,5.0,Component 1 21 1 5
87,C.8,MACHINE PARAMETERS,CY RIDE,Component,2,22.0,1.0,6.0,Component 2 22 1 6
87,C.8,MACHINE PARAMETERS,CY RIDE,Component,3,23.0,1.0,7.0,Component 3 23 1 7
87,C.8,MACHINE PARAMETERS,CY RIDE,Level,16,,1.0,0.0,Level 16 1 0
87,C.8,MACHINE PARAMETERS,CY RIDE,Tune,17,,1.0,1.0,Tune 17 1 1
87,C.8,MACHINE PARAMETERS,CY RIDE,Tail Decay,18,,1.0,2.0,Tail Decay 18 1 2
87,C.8,MACHINE PARAMETERS,CY RIDE,Hit Decay,19,,1.0,3.0,Hit Decay 19 1 3
87,C.8,MACHINE PARAMETERS,CY RIDE,Cymbal Type,20,,1.0,4.0,Cymbal Type 20 1 4
87,C.8,MACHINE PARAMETERS,HH BASIC,Level,16,,1.0,0.0,Level 16 1 0
87,C.8,MACHINE PARAMETERS,HH BASIC,Tune,17,,1.0,1.0,Tune 17 1 1
87,C.8,MACHINE PARAMETERS,HH BASIC,Decay Time,18,,1.0,2.0,Decay Time 18 1 2
87,C.8,MACHINE PARAMETERS,HH BASIC,Tone,19,,1.0,3.0,Tone 19 1 3
87,C.8,MACHINE PARAMETERS,HH BASIC,Transient Decay,20,,1.0,4.0,Transient Decay 20 1 4
87,C.8,MACHINE PARAMETERS,HH BASIC,Osc Reset,21,,1.0,5.0,Osc Reset 21 1 5
87,C.8,MACHINE PARAMETERS,HH LAB,Tune,1,17.0,1.0,1.0,Tune 1 17 1 1
87,C.8,MACHINE PARAMETERS,HH LAB,Tune,2,19.0,1.0,3.0,Tune 2 19 1 3
87,C.8,MACHINE PARAMETERS,HH LAB,Tune,3,20.0,1.0,3.0,Tune 3 20 1 3
87,C.8,MACHINE PARAMETERS,HH LAB,Tune,4,21.0,1.0,3.0,Tune 4 21 1 3
87,C.8,MACHINE PARAMETERS,HH LAB,Tune,5,22.0,1.0,4.0,Tune 5 22 1 4
87,C.8,MACHINE PARAMETERS,HH LAB,Tune,6,23.0,1.0,5.0,Tune 6 23 1 5
87,C.8,MACHINE PARAMETERS,HH LAB,Level,16,,1.0,0.0,Level 16 1 0
87,C.8,MACHINE PARAMETERS,HH LAB,Decay Time,18,,1.0,2.0,Decay Time 18 1 2
86,C.8,MACHINE PARAMETERS,OH CLASSIC,Level,16,,1.0,0.0,Level 16 1 0
86,C.8,MACHINE PARAMETERS,OH CLASSIC,Tune,17,,1.0,1.0,Tune 17 1 1
86,C.8,MACHINE PARAMETERS,OH CLASSIC,Decay,18,,1.0,2.0,Decay 18 1 2
86,C.8,MACHINE PARAMETERS,OH CLASSIC,Color,19,,1.0,3.0,Color 19 1 3
86,C.8,MACHINE PARAMETERS,OH METALLIC,Level,16,,1.0,0.0,Level 16 1 0
86,C.8,MACHINE PARAMETERS,OH METALLIC,Tune,17,,1.0,1.0,Tune 17 1 1
86,C.8,MACHINE PARAMETERS,OH METALLIC,Decay Time,18,,1.0,2.0,Decay Time 18 1 2
84,C.8,MACHINE PARAMETERS,RS CLASSIC,Tune Osc,1,17.0,1.0,1.0,Tune Osc 1 17 1 1
84,C.8,MACHINE PARAMETERS,RS CLASSIC,Tune Osc,2,20.0,1.0,4.0,Tune Osc 2 20 1 4
84,C.8,MACHINE PARAMETERS,RS CLASSIC,Level,16,,1.0,0.0,Level 16 1 0
84,C.8,MACHINE PARAMETERS,RS CLASSIC,Decay,18,,1.0,2.0,Decay 18 1 2
84,C.8,MACHINE PARAMETERS,RS CLASSIC,Osc Balance,19,,1.0,3.0,Osc Balance 19 1 3
84,C.8,MACHINE PARAMETERS,RS CLASSIC,Symmetry,21,,1.0,5.0,Symmetry 21 1 5
84,C.8,MACHINE PARAMETERS,RS CLASSIC,Noise Level,22,,1.0,6.0,Noise Level 22 1 6
84,C.8,MACHINE PARAMETERS,RS CLASSIC,Tick Level,23,,1.0,7.0,Tick Level 23 1 7
84,C.8,MACHINE PARAMETERS,RS HARD,Level,16,,1.0,0.0,Level 16 1 0
84,C.8,MACHINE PARAMETERS,RS HARD,Tune,17,,1.0,1.0,Tune 17 1 1
84,C.8,MACHINE PARAMETERS,RS HARD,Decay,18,,1.0,2.0,Decay 18 1 2
84,C.8,MACHINE PARAMETERS,RS HARD,Sweep Depth,19,,1.0,3.0,Sweep Depth 19 1 3
84,C.8,MACHINE PARAMETERS,RS HARD,Tick Level,20,,1.0,4.0,Tick Level 20 1 4
84,C.8,MACHINE PARAMETERS,RS HARD,Noise Level,21,,1.0,5.0,Noise Level 21 1 5
84,C.8,MACHINE PARAMETERS,RS HARD,Symmetry,22,,1.0,6.0,Symmetry 22 1 6
84,C.8,MACHINE PARAMETERS,RS HARD,Sweep Time,23,,1.0,7.0,Sweep Time 23 1 7
84,C.8,MACHINE PARAMETERS,SD ACOUSTIC,Level,16,,1.0,0.0,Level 16 1 0
84,C.8,MACHINE PARAMETERS,SD ACOUSTIC,Tune,17,,1.0,1.0,Tune 17 1 1
84,C.8,MACHINE PARAMETERS,SD ACOUSTIC,Decay,18,,1.0,2.0,Decay 18 1 2
84,C.8,MACHINE PARAMETERS,SD ACOUSTIC,Noise Decay,19,,1.0,3.0,Noise Decay 19 1 3
84,C.8,MACHINE PARAMETERS,SD ACOUSTIC,Hold Time,20,,1.0,4.0,Hold Time 20 1 4
84,C.8,MACHINE PARAMETERS,SD ACOUSTIC,Noise Level,21,,1.0,5.0,Noise Level 21 1 5
